From,To,Tolerance,Upper,Lower
0,3,A10,0.31,0.27
3,6,A10,0.38,0.27
6,10,A10,0.338,0.28
10,18,A10,0.36,0.29
18,30,A10,0.384,0.3
30,40,A10,0.41,0.31
40,50,A10,0.42,0.32
50,65,A10,0.46,0.34
65,80,A10,0.48,0.36
80,100,A10,0.52,0.38
100,120,A10,0.55,0.41
120,140,A10,0.62,0.46
140,160,A10,0.68,0.52
160,180,A10,0.74,0.58
180,200,A10,0.845,0.66
200,225,A10,0.925,0.74
225,250,A10,1.005,0.82
250,280,A10,1.13,0.92
280,315,A10,1.26,1.05
315,355,A10,1.43,1.2
355,400,A10,1.58,1.35
400,450,A10,1.75,1.5
450,500,A10,1.9,1.65
0,3,A11,0.33,0.27
3,6,A11,0.345,0.27
6,10,A11,0.37,0.28
10,18,A11,0.4,0.29
18,30,A11,0.43,0.3
30,40,A11,0.47,0.31
40,50,A11,0.48,0.32
50,65,A11,0.53,0.34
65,80,A11,0.55,0.36
80,100,A11,0.6,0.38
100,120,A11,0.63,0.41
120,140,A11,0.71,0.46
140,160,A11,0.77,0.52
160,180,A11,0.83,0.58
180,200,A11,0.95,0.66
200,225,A11,1.03,0.74
225,250,A11,1.11,0.82
250,280,A11,1.24,0.92
280,315,A11,1.37,1.05
315,355,A11,1.56,1.2
355,400,A11,1.71,1.35
400,450,A11,1.9,1.5
450,500,A11,2.05,1.65
0,3,A12,0.37,0.27
3,6,A12,0.39,0.27
6,10,A12,0.43,0.28
10,18,A12,0.47,0.29
18,30,A12,0.51,0.3
30,40,A12,0.56,0.31
40,50,A12,0.57,0.32
50,65,A12,0.64,0.34
65,80,A12,0.66,0.36
80,100,A12,0.73,0.38
100,120,A12,0.76,0.41
120,140,A12,0.86,0.46
140,160,A12,0.92,0.52
160,180,A12,0.98,0.58
180,200,A12,1.12,0.66
200,225,A12,1.2,0.74
225,250,A12,1.28,0.82
250,280,A12,1.44,0.92
280,315,A12,1.57,1.05
315,355,A12,1.77,1.2
355,400,A12,1.92,1.35
400,450,A12,2.13,1.5
450,500,A12,2.28,1.65
0,3,A13,0.41,0.27
3,6,A13,0.45,0.27
6,10,A13,0.5,0.28
10,18,A13,0.56,0.29
18,30,A13,0.63,0.3
30,40,A13,0.7,0.31
40,50,A13,0.71,0.32
50,65,A13,0.8,0.34
65,80,A13,0.82,0.36
80,100,A13,0.92,0.38
100,120,A13,0.95,0.41
120,140,A13,1.09,0.46
140,160,A13,1.15,0.52
160,180,A13,1.21,0.58
180,200,A13,1.38,0.66
200,225,A13,1.46,0.74
225,250,A13,1.54,0.82
250,280,A13,1.73,0.92
280,315,A13,1.86,1.05
315,355,A13,2.09,1.2
355,400,A13,2.24,1.35
400,450,A13,2.47,1.5
450,500,A13,2.62,1.65
0,3,A9,0.295,0.27
3,6,A9,0.3,0.27
6,10,A9,0.316,0.28
10,18,A9,0.333,0.29
18,30,A9,0.352,0.3
30,40,A9,0.372,0.31
40,50,A9,0.382,0.32
50,65,A9,0.414,0.34
65,80,A9,0.434,0.36
80,100,A9,0.467,0.38
100,120,A9,0.497,0.41
120,140,A9,0.56,0.46
140,160,A9,0.62,0.52
160,180,A9,0.68,0.58
180,200,A9,0.775,0.66
200,225,A9,0.855,0.74
225,250,A9,0.935,0.82
250,280,A9,1.05,0.92
280,315,A9,1.18,1.05
315,355,A9,1.34,1.2
355,400,A9,1.49,1.35
400,450,A9,1.655,1.5
450,500,A9,1.805,1.65
0,3,B10,0.18,0.14
3,6,B10,0.188,0.14
6,10,B10,0.208,0.15
10,18,B10,0.22,0.15
18,30,B10,0.244,0.16
30,40,B10,0.27,0.17
40,50,B10,0.28,0.18
50,65,B10,0.31,0.19
65,80,B10,0.32,0.2
80,100,B10,0.36,0.22
100,120,B10,0.38,0.24
120,140,B10,0.42,0.26
140,160,B10,0.44,0.28
160,180,B10,0.47,0.31
180,200,B10,0.525,0.34
200,225,B10,0.565,0.38
225,250,B10,0.605,0.42
250,280,B10,0.69,0.48
280,315,B10,0.75,0.54
315,355,B10,0.83,0.6
355,400,B10,0.91,0.68
400,450,B10,1.01,0.76
450,500,B10,1.09,0.84
0,3,B11,0.2,0.14
3,6,B11,0.215,0.14
6,10,B11,0.24,0.15
10,18,B11,0.26,0.15
18,30,B11,0.29,0.16
30,40,B11,0.33,0.17
40,50,B11,0.34,0.18
50,65,B11,0.38,0.19
65,80,B11,0.39,0.2
80,100,B11,0.44,0.22
100,120,B11,0.46,0.24
120,140,B11,0.51,0.26
140,160,B11,0.53,0.28
160,180,B11,0.56,0.31
180,200,B11,0.63,0.34
200,225,B11,0.67,0.38
225,250,B11,0.71,0.42
250,280,B11,0.8,0.48
280,315,B11,0.86,0.54
315,355,B11,0.96,0.6
355,400,B11,1.04,0.68
400,450,B11,1.16,0.76
450,500,B11,1.24,0.84
0,3,B12,0.24,0.14
3,6,B12,0.26,0.14
6,10,B12,0.3,0.15
10,18,B12,0.33,0.15
18,30,B12,0.37,0.16
30,40,B12,0.42,0.17
40,50,B12,0.43,0.18
50,65,B12,0.49,0.19
65,80,B12,0.5,0.2
80,100,B12,0.57,0.22
100,120,B12,0.59,0.24
120,140,B12,0.66,0.26
140,160,B12,0.68,0.28
160,180,B12,0.71,0.31
180,200,B12,0.8,0.34
200,225,B12,0.84,0.38
225,250,B12,0.88,0.42
250,280,B12,1.0,0.48
280,315,B12,1.06,0.54
315,355,B12,1.17,0.6
355,400,B12,1.25,0.68
400,450,B12,1.39,0.76
450,500,B12,1.47,0.84
0,3,B13,0.28,0.14
3,6,B13,0.32,0.14
6,10,B13,0.37,0.15
10,18,B13,0.42,0.15
18,30,B13,0.49,0.16
30,40,B13,0.56,0.17
40,50,B13,0.57,0.18
50,65,B13,0.65,0.19
65,80,B13,0.66,0.2
80,100,B13,0.76,0.22
100,120,B13,0.78,0.24
120,140,B13,0.89,0.26
140,160,B13,0.91,0.28
160,180,B13,0.94,0.31
180,200,B13,1.06,0.34
200,225,B13,1.1,0.38
225,250,B13,1.14,0.42
250,280,B13,1.29,0.48
280,315,B13,1.35,0.54
315,355,B13,1.49,0.6
355,400,B13,1.57,0.68
400,450,B13,1.73,0.76
450,500,B13,1.81,0.84
0,3,B8,0.154,0.14
3,6,B8,0.158,0.14
6,10,B8,0.172,0.15
10,18,B8,0.177,0.15
18,30,B8,0.193,0.16
30,40,B8,0.209,0.17
40,50,B8,0.219,0.18
50,65,B8,0.236,0.19
65,80,B8,0.246,0.2
80,100,B8,0.274,0.22
100,120,B8,0.294,0.24
120,140,B8,0.323,0.26
140,160,B8,0.343,0.28
160,180,B8,0.373,0.31
180,200,B8,0.412,0.34
200,225,B8,0.452,0.38
225,250,B8,0.492,0.42
250,280,B8,0.561,0.48
280,315,B8,0.621,0.54
315,355,B8,0.689,0.6
355,400,B8,0.769,0.68
400,450,B8,0.857,0.76
450,500,B8,0.937,0.84
0,3,B9,0.165,0.14
3,6,B9,0.17,0.14
6,10,B9,0.186,0.15
10,18,B9,0.193,0.15
18,30,B9,0.212,0.16
30,40,B9,0.232,0.17
40,50,B9,0.242,0.18
50,65,B9,0.264,0.19
65,80,B9,0.274,0.2
80,100,B9,0.307,0.22
100,120,B9,0.327,0.24
120,140,B9,0.36,0.26
140,160,B9,0.38,0.28
160,180,B9,0.41,0.31
180,200,B9,0.455,0.34
200,225,B9,0.495,0.38
225,250,B9,0.535,0.42
250,280,B9,0.61,0.48
280,315,B9,0.67,0.54
315,355,B9,0.74,0.6
355,400,B9,0.82,0.68
400,450,B9,0.915,0.76
450,500,B9,0.995,0.84
0,3,C10,0.1,0.06
3,6,C10,0.118,0.07
6,10,C10,0.138,0.08
10,18,C10,0.165,0.095
18,30,C10,0.194,0.11
30,40,C10,0.22,0.12
40,50,C10,0.23,0.13
50,65,C10,0.26,0.14
65,80,C10,0.27,0.15
80,100,C10,0.31,0.17
100,120,C10,0.32,0.18
120,140,C10,0.36,0.2
140,160,C10,0.37,0.21
160,180,C10,0.39,0.23
180,200,C10,0.425,0.24
200,225,C10,0.445,0.26
225,250,C10,0.465,0.28
250,280,C10,0.51,0.3
280,315,C10,0.54,0.33
315,355,C10,0.59,0.36
355,400,C10,0.63,0.4
400,450,C10,0.69,0.44
450,500,C10,0.73,0.48
0,3,C11,0.12,0.06
3,6,C11,0.145,0.07
6,10,C11,0.17,0.08
10,18,C11,0.205,0.095
18,30,C11,0.24,0.11
30,40,C11,0.28,0.12
40,50,C11,0.29,0.13
50,65,C11,0.33,0.14
65,80,C11,0.34,0.15
80,100,C11,0.39,0.17
100,120,C11,0.4,0.18
120,140,C11,0.45,0.2
140,160,C11,0.46,0.21
160,180,C11,0.48,0.23
180,200,C11,0.53,0.24
200,225,C11,0.55,0.26
225,250,C11,0.57,0.28
250,280,C11,0.62,0.3
280,315,C11,0.65,0.33
315,355,C11,0.72,0.36
355,400,C11,0.76,0.4
400,450,C11,0.84,0.44
450,500,C11,0.88,0.48
0,3,C12,0.16,0.06
3,6,C12,0.19,0.07
6,10,C12,0.23,0.08
10,18,C12,0.275,0.095
18,30,C12,0.32,0.11
30,40,C12,0.37,0.12
40,50,C12,0.38,0.13
50,65,C12,0.44,0.14
65,80,C12,0.45,0.15
80,100,C12,0.52,0.17
100,120,C12,0.53,0.18
120,140,C12,0.6,0.2
140,160,C12,0.61,0.21
160,180,C12,0.63,0.23
180,200,C12,0.7,0.24
200,225,C12,0.72,0.26
225,250,C12,0.74,0.28
250,280,C12,0.82,0.3
280,315,C12,0.85,0.33
315,355,C12,0.93,0.36
355,400,C12,0.97,0.4
400,450,C12,1.07,0.44
450,500,C12,1.11,0.48
0,3,C13,0.2,0.06
3,6,C13,0.25,0.07
6,10,C13,0.3,0.08
10,18,C13,0.365,0.095
18,30,C13,0.44,0.11
30,40,C13,0.51,0.12
40,50,C13,0.52,0.13
50,65,C13,0.6,0.14
65,80,C13,0.61,0.15
80,100,C13,0.71,0.17
100,120,C13,0.72,0.18
120,140,C13,0.83,0.2
140,160,C13,0.84,0.21
160,180,C13,0.86,0.23
180,200,C13,0.96,0.24
200,225,C13,0.98,0.26
225,250,C13,1.0,0.28
250,280,C13,1.11,0.3
280,315,C13,1.14,0.33
315,355,C13,1.25,0.36
355,400,C13,1.29,0.4
400,450,C13,1.41,0.44
450,500,C13,1.45,0.48
0,3,C8,0.074,0.06
3,6,C8,0.088,0.07
6,10,C8,0.102,0.08
10,18,C8,0.122,0.095
18,30,C8,0.143,0.11
30,40,C8,0.159,0.12
40,50,C8,0.169,0.13
50,65,C8,0.186,0.14
65,80,C8,0.196,0.15
80,100,C8,0.224,0.17
100,120,C8,0.234,0.18
120,140,C8,0.263,0.2
140,160,C8,0.273,0.21
160,180,C8,0.293,0.23
180,200,C8,0.312,0.24
200,225,C8,0.332,0.26
225,250,C8,0.352,0.28
250,280,C8,0.381,0.3
280,315,C8,0.411,0.33
315,355,C8,0.449,0.36
355,400,C8,0.489,0.4
400,450,C8,0.537,0.44
450,500,C8,0.577,0.48
0,3,C9,0.085,0.06
3,6,C9,0.1,0.07
6,10,C9,0.116,0.08
10,18,C9,0.138,0.095
18,30,C9,0.162,0.11
30,40,C9,0.182,0.12
40,50,C9,0.192,0.13
50,65,C9,0.214,0.14
65,80,C9,0.224,0.15
80,100,C9,0.257,0.17
100,120,C9,0.267,0.18
120,140,C9,0.3,0.2
140,160,C9,0.31,0.21
160,180,C9,0.33,0.23
180,200,C9,0.355,0.24
200,225,C9,0.375,0.26
225,250,C9,0.395,0.28
250,280,C9,0.43,0.3
280,315,C9,0.46,0.33
315,355,C9,0.5,0.36
355,400,C9,0.54,0.4
400,450,C9,0.595,0.44
450,500,C9,0.635,0.48
0,3,CD10,0.074,0.034
3,6,CD10,0.094,0.046
6,10,CD10,0.114,0.056
0,3,CD6,0.04,0.034
3,6,CD6,0.054,0.046
6,10,CD6,0.065,0.056
0,3,CD7,0.044,0.034
3,6,CD7,0.058,0.046
6,10,CD7,0.071,0.056
0,3,CD8,0.048,0.034
3,6,CD8,0.064,0.046
6,10,CD8,0.078,0.056
0,3,CD9,0.059,0.034
3,6,CD9,0.076,0.046
6,10,CD9,0.092,0.056
0,3,D10,0.06,0.02
3,6,D10,0.078,0.03
6,10,D10,0.098,0.04
10,18,D10,0.12,0.05
18,30,D10,0.149,0.065
30,50,D10,0.18,0.08
50,80,D10,0.22,0.1
80,120,D10,0.26,0.12
120,180,D10,0.305,0.145
180,250,D10,0.355,0.17
250,315,D10,0.4,0.19
315,400,D10,0.44,0.21
400,500,D10,0.48,0.23
500,630,D10,0.54,0.26
630,800,D10,0.61,0.29
800,1000,D10,0.68,0.33
1000,1250,D10,0.77,0.35
1250,1600,D10,0.89,0.39
1600,2000,D10,1.03,0.43
2000,2500,D10,1.18,0.48
2500,3150,D10,1.38,0.52
0,3,D11,0.08,0.02
3,6,D11,0.105,0.03
6,10,D11,0.13,0.04
10,18,D11,0.16,0.05
18,30,D11,0.195,0.065
30,50,D11,0.24,0.08
50,80,D11,0.29,0.1
80,120,D11,0.34,0.12
120,180,D11,0.395,0.145
180,250,D11,0.46,0.17
250,315,D11,0.51,0.19
315,400,D11,0.57,0.21
400,500,D11,0.63,0.23
500,630,D11,0.7,0.26
630,800,D11,0.79,0.29
800,1000,D11,0.88,0.32
1000,1250,D11,1.01,0.35
1250,1600,D11,1.17,0.39
1600,2000,D11,1.35,0.43
2000,2500,D11,1.58,0.48
2500,3150,D11,1.87,0.52
0,3,D12,0.12,0.02
3,6,D12,0.15,0.03
6,10,D12,0.19,0.04
10,18,D12,0.23,0.05
18,30,D12,0.275,0.065
30,50,D12,0.33,0.08
50,80,D12,0.4,0.1
80,120,D12,0.47,0.12
120,180,D12,0.545,0.145
180,250,D12,0.63,0.17
250,315,D12,0.71,0.19
315,400,D12,0.78,0.21
400,500,D12,0.86,0.23
500,630,D12,0.96,0.26
630,800,D12,1.09,0.29
800,1000,D12,1.22,0.32
1000,1250,D12,1.4,0.35
1250,1600,D12,1.64,0.39
1600,2000,D12,1.93,0.43
2000,2500,D12,2.23,0.48
2500,3150,D12,2.62,0.52
0,3,D13,0.16,0.02
3,6,D13,0.21,0.03
6,10,D13,0.26,0.04
10,18,D13,0.32,0.05
18,30,D13,0.395,0.065
30,50,D13,0.47,0.08
50,80,D13,0.56,0.1
80,120,D13,0.66,0.12
120,180,D13,0.775,0.145
180,250,D13,0.89,0.17
250,315,D13,1.0,0.19
315,400,D13,1.1,0.21
400,500,D13,1.2,0.23
500,630,D13,1.36,0.26
630,800,D13,1.54,0.29
800,1000,D13,1.72,0.32
1000,1250,D13,2.0,0.35
1250,1600,D13,2.34,0.39
1600,2000,D13,2.73,0.43
2000,2500,D13,3.28,0.48
2500,3150,D13,3.82,0.52
0,3,D6,0.026,0.02
3,6,D6,0.038,0.03
6,10,D6,0.049,0.04
10,18,D6,0.061,0.05
18,30,D6,0.078,0.065
30,50,D6,0.096,0.08
50,80,D6,0.119,0.1
80,120,D6,0.142,0.12
120,180,D6,0.17,0.145
180,250,D6,0.199,0.17
250,315,D6,0.222,0.19
315,400,D6,0.246,0.21
400,500,D6,0.27,0.23
500,630,D6,0.304,0.26
630,800,D6,0.34,0.29
800,1000,D6,0.376,0.32
1000,1250,D6,0.416,0.35
1250,1600,D6,0.468,0.39
1600,2000,D6,0.522,0.43
2000,2500,D6,0.59,0.48
2500,3150,D6,0.655,0.52
0,3,D7,0.03,0.02
3,6,D7,0.042,0.03
6,10,D7,0.055,0.04
10,18,D7,0.068,0.05
18,30,D7,0.086,0.065
30,50,D7,0.105,0.08
50,80,D7,0.13,0.1
80,120,D7,0.155,0.12
120,180,D7,0.185,0.145
180,250,D7,0.216,0.17
250,315,D7,0.242,0.19
315,400,D7,0.267,0.21
400,500,D7,0.293,0.23
500,630,D7,0.33,0.26
630,800,D7,0.37,0.29
800,1000,D7,0.41,0.32
1000,1250,D7,0.455,0.35
1250,1600,D7,0.515,0.39
1600,2000,D7,0.58,0.43
2000,2500,D7,0.655,0.48
2500,3150,D7,0.73,0.52
0,3,D8,0.034,0.02
3,6,D8,0.048,0.03
6,10,D8,0.062,0.04
10,18,D8,0.077,0.05
18,30,D8,0.098,0.065
30,50,D8,0.119,0.08
50,80,D8,0.146,0.1
80,120,D8,0.174,0.12
120,180,D8,0.208,0.145
180,250,D8,0.242,0.17
250,315,D8,0.271,0.19
315,400,D8,0.299,0.21
400,500,D8,0.327,0.23
500,630,D8,0.37,0.26
630,800,D8,0.415,0.29
800,1000,D8,0.46,0.32
1000,1250,D8,0.515,0.35
1250,1600,D8,0.585,0.39
1600,2000,D8,0.66,0.43
2000,2500,D8,0.76,0.48
2500,3150,D8,0.85,0.52
0,3,D9,0.045,0.02
3,6,D9,0.06,0.03
6,10,D9,0.076,0.04
10,18,D9,0.093,0.05
18,30,D9,0.117,0.065
30,50,D9,0.142,0.08
50,80,D9,0.174,0.1
80,120,D9,0.207,0.12
120,180,D9,0.245,0.145
180,250,D9,0.285,0.17
250,315,D9,0.32,0.19
315,400,D9,0.35,0.21
400,500,D9,0.385,0.23
500,630,D9,0.435,0.26
630,800,D9,0.49,0.29
800,1000,D9,0.55,0.32
1000,1250,D9,0.61,0.35
1250,1600,D9,0.7,0.39
1600,2000,D9,0.8,0.43
2000,2500,D9,0.92,0.48
2500,3150,D9,1.06,0.52
0,3,E10,0.054,0.014
3,6,E10,0.068,0.02
6,10,E10,0.083,0.025
10,18,E10,0.102,0.032
18,30,E10,0.124,0.04
30,50,E10,0.15,0.05
50,80,E10,0.18,0.06
80,120,E10,0.212,0.072
120,180,E10,0.245,0.085
180,250,E10,0.285,0.1
250,315,E10,0.32,0.11
315,400,E10,0.355,0.125
400,500,E10,0.385,0.135
500,630,E10,0.425,0.145
630,800,E10,0.48,0.16
800,1000,E10,0.53,0.17
1000,1250,E10,0.615,0.195
1250,1600,E10,0.72,0.22
1600,2000,E10,0.84,0.24
2000,2500,E10,0.96,0.26
2500,3150,E10,1.15,0.29
0,3,E5,0.018,0.014
3,6,E5,0.025,0.02
6,10,E5,0.031,0.025
10,18,E5,0.04,0.032
18,30,E5,0.049,0.04
30,50,E5,0.061,0.05
50,80,E5,0.073,0.06
80,120,E5,0.087,0.072
120,180,E5,0.103,0.085
180,250,E5,0.12,0.1
250,315,E5,0.133,0.11
315,400,E5,0.15,0.125
400,500,E5,0.162,0.135
0,3,E6,0.02,0.014
3,6,E6,0.028,0.02
6,10,E6,0.034,0.025
10,18,E6,0.043,0.032
18,30,E6,0.053,0.04
30,50,E6,0.066,0.05
50,80,E6,0.079,0.06
80,120,E6,0.094,0.072
120,180,E6,0.11,0.085
180,250,E6,0.129,0.1
250,315,E6,0.142,0.11
315,400,E6,0.161,0.125
400,500,E6,0.175,0.135
500,630,E6,0.189,0.145
630,800,E6,0.21,0.16
800,1000,E6,0.226,0.17
1000,1250,E6,0.261,0.195
1250,1600,E6,0.298,0.22
1600,2000,E6,0.332,0.24
2000,2500,E6,0.37,0.26
2500,3150,E6,0.425,0.29
0,3,E7,0.024,0.014
3,6,E7,0.032,0.02
6,10,E7,0.04,0.025
10,18,E7,0.05,0.032
18,30,E7,0.061,0.04
30,50,E7,0.075,0.05
50,80,E7,0.09,0.06
80,120,E7,0.107,0.072
120,180,E7,0.125,0.085
180,250,E7,0.146,0.1
250,315,E7,0.162,0.11
315,400,E7,0.182,0.125
400,500,E7,0.198,0.135
500,630,E7,0.215,0.145
630,800,E7,0.24,0.16
800,1000,E7,0.26,0.17
1000,1250,E7,0.3,0.195
1250,1600,E7,0.345,0.22
1600,2000,E7,0.39,0.24
2000,2500,E7,0.435,0.26
2500,3150,E7,0.5,0.29
0,3,E8,0.028,0.014
3,6,E8,0.038,0.02
6,10,E8,0.047,0.025
10,18,E8,0.059,0.032
18,30,E8,0.073,0.04
30,50,E8,0.089,0.05
50,80,E8,0.106,0.06
80,120,E8,0.126,0.072
120,180,E8,0.148,0.085
180,250,E8,0.172,0.1
250,315,E8,0.191,0.11
315,400,E8,0.214,0.125
400,500,E8,0.232,0.135
500,630,E8,0.255,0.145
630,800,E8,0.285,0.16
800,1000,E8,0.31,0.17
1000,1250,E8,0.36,0.195
1250,1600,E8,0.415,0.22
1600,2000,E8,0.47,0.24
2000,2500,E8,0.54,0.26
2500,3150,E8,0.62,0.29
0,3,E9,0.039,0.014
3,6,E9,0.05,0.02
6,10,E9,0.061,0.025
10,18,E9,0.075,0.032
18,30,E9,0.092,0.04
30,50,E9,0.112,0.05
50,80,E9,0.134,0.06
80,120,E9,0.159,0.072
120,180,E9,0.185,0.085
180,250,E9,0.215,0.1
250,315,E9,0.24,0.11
315,400,E9,0.265,0.125
400,500,E9,0.29,0.135
500,630,E9,0.32,0.145
630,800,E9,0.36,0.16
800,1000,E9,0.4,0.17
1000,1250,E9,0.455,0.195
1250,1600,E9,0.53,0.22
1600,2000,E9,0.61,0.24
2000,2500,E9,0.7,0.26
2500,3150,E9,0.83,0.29
0,3,EF10,0.05,0.01
3,6,EF10,0.062,0.014
6,10,EF10,0.076,0.018
0,3,EF3,0.012,0.01
3,6,EF3,0.0165,0.014
6,10,EF3,0.0205,0.018
0,3,EF4,0.013,0.01
3,6,EF4,0.018,0.014
6,10,EF4,0.022,0.018
0,3,EF5,0.014,0.01
3,6,EF5,0.019,0.014
6,10,EF5,0.024,0.018
0,3,EF6,0.016,0.01
3,6,EF6,0.022,0.014
6,10,EF6,0.027,0.018
0,3,EF7,0.02,0.01
3,6,EF7,0.026,0.014
6,10,EF7,0.033,0.018
0,3,EF8,0.024,0.01
3,6,EF8,0.032,0.014
6,10,EF8,0.04,0.018
0,3,EF9,0.035,0.01
3,6,EF9,0.044,0.014
6,10,EF9,0.054,0.018
0,3,F10,0.046,0.006
3,6,F10,0.058,0.01
6,10,F10,0.071,0.013
10,18,F10,0.086,0.016
18,30,F10,0.104,0.02
30,50,F10,0.125,0.025
0,3,F3,0.008,0.006
3,6,F3,0.0125,0.01
6,10,F3,0.0155,0.013
10,18,F3,0.019,0.016
18,30,F3,0.024,0.02
30,50,F3,0.029,0.025
0,3,F4,0.009,0.006
3,6,F4,0.014,0.01
6,10,F4,0.017,0.013
10,18,F4,0.021,0.016
18,30,F4,0.026,0.02
30,50,F4,0.032,0.025
0,3,F5,0.01,0.006
3,6,F5,0.015,0.01
6,10,F5,0.019,0.013
10,18,F5,0.024,0.016
18,30,F5,0.029,0.02
30,50,F5,0.036,0.025
50,80,F5,0.043,0.03
80,120,F5,0.051,0.036
120,180,F5,0.061,0.043
180,250,F5,0.07,0.05
250,315,F5,0.079,0.056
315,400,F5,0.087,0.062
400,500,F5,0.095,0.068
0,3,F6,0.012,0.006
3,6,F6,0.018,0.01
6,10,F6,0.022,0.013
10,18,F6,0.027,0.016
18,30,F6,0.033,0.02
30,50,F6,0.041,0.025
50,80,F6,0.049,0.03
80,120,F6,0.058,0.036
120,180,F6,0.068,0.043
180,250,F6,0.079,0.05
250,315,F6,0.088,0.056
315,400,F6,0.098,0.062
400,500,F6,0.108,0.068
500,630,F6,0.12,0.076
630,800,F6,0.13,0.08
800,1000,F6,0.142,0.086
1000,1250,F6,0.164,0.098
1250,1600,F6,0.188,0.11
1600,2000,F6,0.212,0.12
2000,2500,F6,0.24,0.13
2500,3150,F6,0.28,0.145
0,3,F7,0.016,0.006
3,6,F7,0.022,0.01
6,10,F7,0.028,0.013
10,18,F7,0.034,0.016
18,30,F7,0.041,0.02
30,50,F7,0.05,0.025
50,80,F7,0.06,0.03
80,120,F7,0.071,0.036
120,180,F7,0.083,0.043
180,250,F7,0.096,0.05
250,315,F7,0.108,0.056
315,400,F7,0.119,0.062
400,500,F7,0.131,0.068
500,630,F7,0.146,0.076
630,800,F7,0.16,0.08
800,1000,F7,0.176,0.086
1000,1250,F7,0.203,0.098
1250,1600,F7,0.235,0.11
1600,2000,F7,0.27,0.12
2000,2500,F7,0.305,0.13
2500,3150,F7,0.355,0.145
0,3,F8,0.02,0.006
3,6,F8,0.028,0.01
6,10,F8,0.035,0.013
10,18,F8,0.043,0.016
18,30,F8,0.053,0.02
30,50,F8,0.064,0.025
50,80,F8,0.076,0.03
80,120,F8,0.09,0.036
120,180,F8,0.106,0.043
180,250,F8,0.122,0.05
250,315,F8,0.137,0.056
315,400,F8,0.151,0.062
400,500,F8,0.165,0.068
500,630,F8,0.186,0.076
630,800,F8,0.205,0.08
800,1000,F8,0.226,0.086
1000,1250,F8,0.263,0.098
1250,1600,F8,0.305,0.11
1600,2000,F8,0.35,0.12
2000,2500,F8,0.41,0.13
2500,3150,F8,0.475,0.145
0,3,F9,0.031,0.006
3,6,F9,0.04,0.01
6,10,F9,0.049,0.013
10,18,F9,0.059,0.016
18,30,F9,0.072,0.02
30,50,F9,0.067,0.025
50,80,F9,0.104,0.03
80,120,F9,0.123,0.036
120,180,F9,0.143,0.043
180,250,F9,0.165,0.05
250,315,F9,0.186,0.056
315,400,F9,0.202,0.062
400,500,F9,0.223,0.068
500,630,F9,0.251,0.076
630,800,F9,0.28,0.08
800,1000,F9,0.316,0.086
1000,1250,F9,0.358,0.098
1250,1600,F9,0.42,0.11
1600,2000,F9,0.49,0.12
2000,2500,F9,0.57,0.13
2500,3150,F9,0.685,0.145
0,3,FG10,0.044,0.004
3,6,FG10,0.054,0.006
6,10,FG10,0.066,0.008
0,3,FG3,0.006,0.004
3,6,FG3,0.0085,0.006
6,10,FG3,0.0105,0.008
0,3,FG4,0.007,0.004
3,6,FG4,0.01,0.006
6,10,FG4,0.012,0.008
0,3,FG5,0.008,0.004
3,6,FG5,0.011,0.006
6,10,FG5,0.014,0.008
0,3,FG6,0.01,0.004
3,6,FG6,0.014,0.006
6,10,FG6,0.017,0.008
0,3,FG7,0.014,0.004
3,6,FG7,0.018,0.006
6,10,FG7,0.023,0.008
0,3,FG8,0.018,0.004
3,6,FG8,0.024,0.006
6,10,FG8,0.03,0.008
0,3,FG9,0.029,0.004
3,6,FG9,0.036,0.006
6,10,FG9,0.044,0.008
0,3,G10,0.042,0.002
3,6,G10,0.052,0.004
6,10,G10,0.063,0.005
10,18,G10,0.076,0.006
18,30,G10,0.091,0.007
30,50,G10,0.109,0.009
0,3,G3,0.004,0.002
3,6,G3,0.0065,0.004
6,10,G3,0.0075,0.005
10,18,G3,0.009,0.006
18,30,G3,0.011,0.007
30,50,G3,0.013,0.009
0,3,G4,0.005,0.002
3,6,G4,0.008,0.004
6,10,G4,0.009,0.005
10,18,G4,0.011,0.006
18,30,G4,0.013,0.007
30,50,G4,0.016,0.009
0,3,G5,0.006,0.002
3,6,G5,0.009,0.004
6,10,G5,0.011,0.005
10,18,G5,0.014,0.006
18,30,G5,0.016,0.007
30,50,G5,0.02,0.009
50,80,G5,0.023,0.01
80,120,G5,0.027,0.012
120,180,G5,0.032,0.014
180,250,G5,0.035,0.015
250,315,G5,0.04,0.017
315,400,G5,0.043,0.018
400,500,G5,0.047,0.02
0,3,G6,0.008,0.002
3,6,G6,0.012,0.004
6,10,G6,0.014,0.005
10,18,G6,0.017,0.006
18,30,G6,0.02,0.007
30,50,G6,0.025,0.009
50,80,G6,0.029,0.01
80,120,G6,0.034,0.012
120,180,G6,0.039,0.014
180,250,G6,0.044,0.015
250,315,G6,0.049,0.017
315,400,G6,0.054,0.018
400,500,G6,0.06,0.02
500,630,G6,0.066,0.022
630,800,G6,0.074,0.024
800,1000,G6,0.082,0.026
1000,1250,G6,0.094,0.028
1250,1600,G6,0.108,0.03
1600,2000,G6,0.124,0.032
2000,2500,G6,0.144,0.034
2500,3150,G6,0.173,0.038
0,3,G7,0.012,0.002
3,6,G7,0.016,0.004
6,10,G7,0.02,0.005
10,18,G7,0.024,0.006
18,30,G7,0.028,0.007
30,50,G7,0.034,0.009
50,80,G7,0.04,0.01
